RANGERDIST,REGION,FORESTNUMB,DISTRICTNU,DISTRICTOR,FORESTNAME,DISTRICTNA,GIS_ACRES,SHAPE_AREA,SHAPE_LEN
99030407010343,03,04,07,030407,Coconino National Forest,Mogollon Rim Ranger District,517763.71,0.206001126719,3.42781126043
99031205010343,03,12,05,031205,Tonto National Forest,Pleasant Valley Ranger District,437190.566,0.172713082201,2.28296177657
99030803010343,03,08,03,030803,Lincoln National Forest,Guadalupe Ranger District,289126.405,0.112031576862,2.29774712155
99031002010343,03,10,02,031002,Santa Fe National Forest,Cuba Ranger District,254630.761,0.103223842023,3.14100071438
99041901010343,04,19,01,041901,Uinta-Wasatch-Cache National Forest,Salt Lake Ranger District,288042.889,0.124242460656,4.02168231655
99041904010343,04,19,04,041904,Uinta-Wasatch-Cache National Forest,Evanston-Mountain View Ranger District,494504.777,0.213827692972,3.38372994538
99041001010343,04,10,01,041001,Manti-La Sal National Forest,Sanpete Ranger District,259405.62,0.109804570488,3.82159099177
99030202010343,03,02,02,030202,Carson National Forest,El Rito Ranger District,280471.369,0.114081320942,2.26799051372
99030206010343,03,02,06,030206,Carson National Forest,Tres Piedras Ranger District,387716.83,0.158169092573,3.5580637892700002
99030201010343,03,02,01,030201,Carson National Forest,Canjilon Ranger District,150657.454,0.0612864397852,1.69477745038
99041003010343,04,10,03,041003,Manti-La Sal National Forest,Price Ranger District,278503.55,0.118302017536,2.63865619808
99041002010343,04,10,02,041002,Manti-La Sal National Forest,Ferron Ranger District,333253.278,0.140623086569,2.25674465042
99041903010343,04,19,03,041903,Uinta-Wasatch-Cache National Forest,Heber-Kamas Ranger District,536931.619,0.230651619381,4.27386432154
99041902010343,04,19,02,041902,Uinta-Wasatch-Cache National Forest,Pleasant Grove Ranger District,150637.616,0.0646674875682,1.56847947488
99041701010343,04,17,01,041701,Humboldt-Toiyabe National Forest,Carson Ranger District,601512.658,0.25316419163,6.76768731582
99041705010343,04,17,05,041705,Humboldt-Toiyabe National Forest,Spring Mountains National Recreation Area,322198.476,0.130775142369,2.48320297496
99041703010343,04,17,03,041703,Humboldt-Toiyabe National Forest,Austin-Tonopah Ranger District,2136703.98,0.897442405984,14.41434497
99041706010343,04,17,06,041706,Humboldt-Toiyabe National Forest,Mountain City-Ruby Mountains-Jarbidge Ranger District,1201311.923,0.52286397656,8.72466748182
99040204010343,04,02,04,040204,Boise National Forest,Cascade Ranger District,401299.858,0.18424070237,4.82658549452
99040206010343,04,02,06,040206,Boise National Forest,Emmett Ranger District,353824.781,0.161343823607,4.45335138887
99040203010343,04,02,03,040203,Boise National Forest,Idaho City Ranger District,568017.053,0.257392336595,3.95967219846
99040205010343,04,02,05,040205,Boise National Forest,Lowman Ranger District,468938.637,0.21380457335,2.97037674776
99041557010343,04,15,57,041557,Caribou-Targhee National Forest,Westside Ranger District,416464.192,0.18431393837,6.64334883625
99041555010343,04,15,55,041555,Caribou-Targhee National Forest,Soda Springs Ranger District,365213.738,0.162885163383,4.00932633331
99041553010343,04,15,53,041553,Caribou-Targhee National Forest,Montpelier Ranger District,428045.442,0.189261219275,4.00145077343
99040804010343,04,08,04,040804,Fishlake National Forest,Richfield Ranger District,460428.163,0.193006502903,4.51743520801
99040803010343,04,08,03,040803,Fishlake National Forest,Beaver Ranger District,313234.31,0.130683008798,1.85699255768
